fudo_id,categoria,nombre,descripcion,precio,costo,activo,favorito,controla_stock,stock
58,Adicionales,Adicional crema,,400,,True,False,False,
149,Adicionales,Descafeinado,,20,,True,False,False,
134,Adicionales,Jamon,,300,,True,False,False,
171,Adicionales,Jamon crudo,,250,,True,False,False,
235,Adicionales,Lasaña,,9000,,True,False,False,
143,Adicionales,Lechuga,,300,,True,False,False,
136,Adicionales,Limón,,200,,True,False,False,
150,Adicionales,Mermelada,,300,,True,False,False,
234,Adicionales,PROPINA,,0,,True,True,False,
133,Adicionales,Queso,,300,,True,False,False,
155,Adicionales,Rollito jamon,,300,,True,False,False,
156,Adicionales,Rollito queso,,300,,True,False,False,
220,Adicionales,Tazon diferencia,,600,,True,False,False,
81,Adicionales,Tomate,,400,,True,False,False,
223,Alfajores,Alfajor triple,,2600,,True,False,False,
224,Alfajores,Conito,,1800,,True,False,False,
20,Bebidas,Agua con gas,,2600,,True,False,True,
191,Bebidas,Agua Ser,,16,,False,False,False,
6,Bebidas,Agua sin gas,,2600,,True,False,True,-2790.0
38,Bebidas,Agua tonica lata,,60,,False,False,True,
152,Bebidas,Cepita,,60,,False,False,False,
187,Bebidas,Cepita / Baggio,,1000,,True,False,False,
76,Bebidas,Cerveza litro,,350,,False,False,True,
74,Bebidas,Cerveza quilmes porron,,3500,,True,False,True,
144,Bebidas,Cunnington agua tonica,,2600,,True,False,True,
145,Bebidas,Cunnington pomelo,,90,,False,False,True,
68,Bebidas,Gatorade,,120,,False,False,True,
71,Bebidas,Gatorade limon,,120,,False,False,True,
69,Bebidas,Gatorade Manzana,,120,,False,False,True,
70,Bebidas,Gatorade Naranja,,120,,False,False,True,
72,Bebidas,H2O Citrus,,90,,False,False,False,
73,Bebidas,H2O Limoneto,,90,,False,False,False,
202,Bebidas,Levite mango,,1100,,False,False,False,
34,Bebidas,Levite manzana,,2600,,True,False,True,
36,Bebidas,Levite naranja,,2600,,True,False,True,
205,Bebidas,Levite pera,,900,,False,False,False,
35,Bebidas,Levite pomelo,,2600,,True,False,True,
39,Bebidas,Mirinda,,2000,,False,False,True,
37,Bebidas,Paso de los toros pomelo,,2600,,True,False,True,
1,Bebidas,Pepsi,,2600,,True,True,True,-3903.0
33,Bebidas,Pepsi black,,2600,,True,False,True,
185,Bebidas,Pepsi black LATA,,90,,False,False,False,
